############################
#   Debug Strings
#############################

absence ausência
accident acidente
address endereço
adult adulto
advice conselho
agency agência
aircraft aeronave
airport aeroporto
alcohol álcool
amount quantia
ancestor ancestral
angle ângulo
annual anual
apartment apartamento
appearance aparência
apple maçã
application inscrição aplicação
approval aprovação
argument discussão
army exército
arrival chegada
article artigo
aspect aspecto
assignment tarefa
assistance ajuda
association associação
atmosphere atmosfera
attempt tentativa
attention atenção
attitude atitude
audience público
authority autoridade
availability disponibilidade
average média
award prêmio
awareness consciência
baby bebê
background fundo
balance equilíbrio
ball bola
bank banco
base base
basket cesta
beach praia
bear urso
beard barba
beauty beleza
bed cama
bee abelha
beef carne
beginning começo
behavior comportamento
belief crença
bell sino
belt cinto
benefit benefício
berry fruta
best melhor
bet aposta
bias vício
bicycle bicicleta
bill conta
bird pássaro
birth nascimento
bit pedaço
black preto
blade lâmina
blanket cobertor
block bloco
blood sangue
blow golpe
blue azul
board quadro
boat barco
body corpo
bomb bomba
bone osso
book livro
boot bota
border fronteira
boss chefe
bottle garrafa
bottom fundo
box caixa
boy menino
brain cérebro
branch galho
bread pão
break intervalo
breath respiração
brick tijolo
bridge ponte
brief resumo
brightness brilho
brother irmão
brush escova
budget orçamento
building edifício
bullet bala
bunch cacho
burden fardo
bureau escritório
bus ônibus
business negócio
butter manteiga
button botão
buyer comprador
space espaço
speed velocidade
spell feitiço
sphere esfera
spice tempero
spirit espírito
spring primavera
square quadrado
stage palco
stair degrau
star estrela
statement declaração
station estação
statistics estatísticas
status status
steam vapor
steel aço
step passo
stick vara
stone pedra
store loja
storm tempestade
story história
street rua
strength força
stress estresse
structure estrutura
style estilo
subject assunto
substance substância
success sucesso
sugar açúcar
suggestion sugestão
summer verão
sun sol
supply fornecimento
support suporte
surface superfície
surgery cirurgia
surprise surpresa
survey pesquisa
system sistema
table mesa
tail cauda
talk conversa
tank tanque
taste gosto
tax imposto
teacher professor
team equipe
technology tecnologia
telephone telefone
television televisão
temperature temperatura
temple templo
tension tensão
tent tenda
term termo
territory território
test teste
text texto
texture textura
theater teatro
theme tema
theory teoria
thing coisa
thought pensamento
thread fio
threat ameaça
time tempo
tip gorjeta
title título
today hoje
tongue língua
tool ferramenta
tooth dente
top topo
touch toque
tour excursão
town cidade
toy brinquedo
trade comércio
traffic tráfego
train trem
training treinamento
transportation transporte
trap armadilha
travel viagem
tree árvore
trend tendência
trial julgamento
triangle triângulo
trip viagem
trouble problema
truck caminhão
truth verdade
try tentativa
tube tubo
tune melodia
tunnel túnel
turkey peru
turn volta
turtle tartaruga
type tipo
uncle tio
understanding compreensão
union união
unit unidade
university universidade
use uso
valley vale
value valor
variety variedade
vehicle veículo
version versão
video vídeo
view vista
village vila
violence violência
virus vírus
vision visão
visit visita
voice voz
vote voto
voyage viagem
wage salário
waist cintura
wait espera
waiter garçom
wall parede
want vontade
war guerra
warmth calor
warning aviso
wash lavagem
waste desperdício
watch relógio
water água
wave onda
way caminho
weakness fraqueza
wealth riqueza
weapon arma
weather tempo
web rede
wedding casamento
week semana
weight peso
welcome boas vindas
welfare bem estar
well poço
west oeste
wheel roda
while enquanto
whiskey uísque
white branco
whole inteiro
width largura
wife esposa
wilderness deserto
will vontade
window janela
wine vinho
wing asa
winter inverno
wire fio
wisdom sabedoria
wish desejo
wit inteligência
woman mulher
women mulheres
wonder maravilha
wood madeira
word palavra
work trabalho
worker trabalhador
world mundo
worry preocupação
worth valor
wrap embrulho
writing escrita
yard quintal
year ano
yellow amarelo
yesterday ontem
youth juventude
apricot damasco
avocado abacate
blackberry amora
blueberry mirtilo
cherry cereja
coconut coco
cranberry oxicoco
date tâmara
dragonfruit pitaya
durian durian
fig figo
grapefruit toranja
guava goiaba
honeydew melão melado
jackfruit jaca
lychee lichia
mango manga
mangosteen mangostão
nectarine nectarina
orange laranja
papaya mamão
peach pêssego
pear pera
pineapple abacaxi
plum ameixa
pomegranate romã
quince marmelo
raspberry framboesa
strawberry morango
tangerine tangerina
watermelon melancia
forehead testa
eyelash cílios
eyelid pálpebra
jaw mandíbula
neck pescoço
shoulder ombro
calf panturrilha
ankle tornozelo
heel calcanhar
arch arco do pé
muscle músculo
sweater suéter
hoodie moletom
jacket jaqueta
coat casaco
pants calças
shorts shorts
skirt saia
leggings leggings
shoes sapatos
sneakers tênis
boots botas
sandals sandálias
slippers chinelos
socks meias
hat chapéu
gloves luvas
scarf cachecol
belt cinto
tie gravata
jewelry joias
watch relógio
bag bolsa
backpack mochila
bra sutiã
panties calcinhas
boxers cuecas
bikini biquíni
trunks sungas
suit terno
gown vestido de festa
tuxedo smoking
pajamas pijama
nightgown camisola
knife faca
spatula espátula
ladle concha
tongs pinça
wok wok
oven forno
stovetop fogão
blender liquidificador
mixer batedeira
kettle chaleira
plate prato
mug caneca
fork garfo
platter bandeja

#############################
